 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha           ha-m           ha-m           ha-m           m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
     1     1     1  2001       1       1  cha001               0.2352E+00     0.2446E-02     0.4680E-04     0.2352E-03     0.3567E+03     0.2177E+00     0.1284E+00     0.8018E-02     0.1881E-01     0.5399E-02     0.2207E-02     0.0000E+00     0.0000E+00     0.1526E+04     0.7531E-02     0.1495E+00     0.1592E-01     0.1211E-01     0.1211E+00     0.8598E-01     0.0000E+00     0.1099E+02     0.5649E+01     0.2980E+03     0.1757E+03     0.1097E+02     0.2574E+02     0.7389E+01     0.3020E+01     0.0000E+00     0.0000E+00     0.2088E+07     0.1031E+02     0.2046E+03     0.2179E+02     0.1657E+02     0.1657E+03     0.1177E+03     0.0000E+00     0.1099E+02     0.5650E+01     0.2981E+03     0.1756E+03     0.1097E+02     0.2575E+02     0.7399E+01     0.3019E+01     0.0000E+00     0.0000E+00     0.2088E+07     0.1036E+02     0.2045E+03     0.2179E+02     0.1657E+02     0.1657E+03     0.1177E+03     0.0000E+00     0.1099E+02     0.1099E+02
     1     1     1  2001       2       2  cha002               0.6740E+00     0.7009E-02     0.1341E-03     0.6740E-03     0.1892E+03     0.1167E+00     0.6878E-01     0.4290E-02     0.9999E-02     0.2851E-02     0.1183E-02     0.0000E+00     0.0000E+00     0.8182E+03     0.4028E-02     0.8019E-01     0.8537E-02     0.6490E-02     0.6490E-01     0.4611E-01     0.0000E+00     0.1099E+02     0.5588E+01     0.2979E+03     0.1755E+03     0.1095E+02     0.2552E+02     0.7276E+01     0.3020E+01     0.0000E+00     0.0000E+00     0.2088E+07     0.1028E+02     0.2046E+03     0.2178E+02     0.1656E+02     0.1656E+03     0.1176E+03     0.0000E+00     0.1099E+02     0.5589E+01     0.2980E+03     0.1755E+03     0.1095E+02     0.2552E+02     0.7281E+01     0.3020E+01     0.0000E+00     0.0000E+00     0.2088E+07     0.1031E+02     0.2046E+03     0.2179E+02     0.1656E+02     0.1656E+03     0.1176E+03     0.0000E+00     0.1099E+02     0.1099E+02
     1     1     1  2001       3       3  cha003               0.1270E+01     0.1321E-01     0.2527E-03     0.1270E-02     0.1544E+03     0.9738E-01     0.5707E-01     0.3542E-02     0.8094E-02     0.2239E-02     0.9873E-03     0.0000E+00     0.0000E+00     0.6826E+03     0.3352E-02     0.6688E-01     0.7115E-02     0.5406E-02     0.5406E-01     0.3843E-01     0.0000E+00     0.1099E+02     0.5467E+01     0.2978E+03     0.1746E+03     0.1083E+02     0.2476E+02     0.6849E+01     0.3020E+01     0.0000E+00     0.0000E+00     0.2088E+07     0.1025E+02     0.2046E+03     0.2176E+02     0.1654E+02     0.1653E+03     0.1176E+03     0.0000E+00     0.1099E+02     0.5468E+01     0.2979E+03     0.1745E+03     0.1083E+02     0.2476E+02     0.6854E+01     0.3020E+01     0.0000E+00     0.0000E+00     0.2088E+07     0.1028E+02     0.2045E+03     0.2176E+02     0.1654E+02     0.1654E+03     0.1175E+03     0.0000E+00     0.1099E+02     0.1099E+02
     1     1     1  2001       4       4  cha004               0.2518E+01     0.2569E-01     0.5020E-03     0.2518E-02     0.1474E+03     0.9360E-01     0.5480E-01     0.3396E-02     0.7707E-02     0.2111E-02     0.9492E-03     0.0000E+00     0.0000E+00     0.6563E+03     0.3216E-02     0.6429E-01     0.6838E-02     0.5195E-02     0.5194E-01     0.3694E-01     0.0000E+00     0.1103E+02     0.5427E+01     0.2978E+03     0.1744E+03     0.1081E+02     0.2452E+02     0.6716E+01     0.3020E+01     0.0000E+00     0.0000E+00     0.2088E+07     0.1023E+02     0.2046E+03     0.2176E+02     0.1653E+02     0.1653E+03     0.1175E+03     0.0000E+00     0.1103E+02     0.5427E+01     0.2978E+03     0.1743E+03     0.1081E+02     0.2452E+02     0.6720E+01     0.3020E+01     0.0000E+00     0.0000E+00     0.2088E+07     0.1025E+02     0.2045E+03     0.2176E+02     0.1653E+02     0.1653E+03     0.1175E+03     0.0000E+00     0.1103E+02     0.1099E+02
     1     1     1  2001       5       5  cha005               0.4992E+00     0.5092E-02     0.9952E-04     0.4992E-03     0.2278E+03     0.1472E+00     0.8577E-01     0.5290E-02     0.1172E-01     0.3195E-02     0.1493E-02     0.0000E+00     0.0000E+00     0.1033E+04     0.5041E-02     0.1011E+00     0.1075E-01     0.8159E-02     0.8159E-01     0.5808E-01     0.0000E+00     0.1103E+02     0.5333E+01     0.2977E+03     0.1735E+03     0.1070E+02     0.2371E+02     0.6461E+01     0.3020E+01     0.0000E+00     0.0000E+00     0.2088E+07     0.1019E+02     0.2045E+03     0.2173E+02     0.1650E+02     0.1650E+03     0.1174E+03     0.0000E+00     0.1103E+02     0.5333E+01     0.2978E+03     0.1734E+03     0.1070E+02     0.2371E+02     0.6467E+01     0.3020E+01     0.0000E+00     0.0000E+00     0.2088E+07     0.1023E+02     0.2045E+03     0.2173E+02     0.1650E+02     0.1650E+03     0.1174E+03     0.0000E+00     0.1103E+02     0.1099E+02
     1     1     1  2001       6       6  cha006               0.1767E+00     0.1803E-02     0.3523E-04     0.1767E-03     0.3409E+03     0.2220E+00     0.1291E+00     0.7946E-02     0.1738E-01     0.4711E-02     0.2253E-02     0.0000E+00     0.0000E+00     0.1558E+04     0.7563E-02     0.1526E+00     0.1620E-01     0.1230E-01     0.1230E+00     0.8759E-01     0.0000E+00     0.1103E+02     0.5289E+01     0.2976E+03     0.1731E+03     0.1065E+02     0.2330E+02     0.6316E+01     0.3021E+01     0.0000E+00     0.0000E+00     0.2088E+07     0.1014E+02     0.2046E+03     0.2172E+02     0.1649E+02     0.1649E+03     0.1174E+03     0.0000E+00     0.1103E+02     0.5290E+01     0.2977E+03     0.1730E+03     0.1065E+02     0.2330E+02     0.6324E+01     0.3020E+01     0.0000E+00     0.0000E+00     0.2088E+07     0.1019E+02     0.2045E+03     0.2172E+02     0.1649E+02     0.1649E+03     0.1174E+03     0.0000E+00     0.1103E+02     0.1099E+02
     1     1     1  2001       7       7  cha007               0.1974E+00     0.2013E-02     0.3935E-04     0.1974E-03     0.3372E+03     0.2216E+00     0.1287E+00     0.7900E-02     0.1708E-01     0.4517E-02     0.2251E-02     0.0000E+00     0.0000E+00     0.1556E+04     0.7513E-02     0.1524E+00     0.1617E-01     0.1227E-01     0.1227E+00     0.8746E-01     0.0000E+00     0.1103E+02     0.5238E+01     0.2974E+03     0.1727E+03     0.1060E+02     0.2293E+02     0.6063E+01     0.3021E+01     0.0000E+00     0.0000E+00     0.2089E+07     0.1008E+02     0.2046E+03     0.2171E+02     0.1647E+02     0.1647E+03     0.1174E+03     0.0000E+00     0.1103E+02     0.5238E+01     0.2976E+03     0.1727E+03     0.1060E+02     0.2293E+02     0.6071E+01     0.3021E+01     0.0000E+00     0.0000E+00     0.2088E+07     0.1014E+02     0.2045E+03     0.2171E+02     0.1648E+02     0.1648E+03     0.1174E+03     0.0000E+00     0.1103E+02     0.1099E+02
     1     1     1  2001       8       8  cha008               0.5030E+00     0.5131E-02     0.1003E-03     0.5030E-03     0.1794E+03     0.1297E+00     0.7408E-01     0.4471E-02     0.8788E-02     0.1832E-02     0.1318E-02     0.0000E+00     0.0000E+00     0.9114E+03     0.4386E-02     0.8917E-01     0.9443E-02     0.7155E-02     0.7154E-01     0.5109E-01     0.0000E+00     0.1103E+02     0.4757E+01     0.2973E+03     0.1698E+03     0.1025E+02     0.2014E+02     0.4198E+01     0.3021E+01     0.0000E+00     0.0000E+00     0.2089E+07     0.1005E+02     0.2043E+03     0.2164E+02     0.1640E+02     0.1640E+03     0.1171E+03     0.0000E+00     0.1103E+02     0.4757E+01     0.2974E+03     0.1697E+03     0.1024E+02     0.2014E+02     0.4201E+01     0.3021E+01     0.0000E+00     0.0000E+00     0.2089E+07     0.1008E+02     0.2043E+03     0.2164E+02     0.1640E+02     0.1640E+03     0.1171E+03     0.0000E+00     0.1103E+02     0.1099E+02
     1     1     1  2001       9       9  cha009               0.1165E+01     0.1188E-01     0.2322E-03     0.1165E-02     0.1297E+03     0.8432E-01     0.5084E-01     0.3091E-02     0.6169E-02     0.1213E-02     0.1098E-02     0.0000E+00     0.0000E+00     0.7592E+03     0.3643E-02     0.5953E-01     0.7078E-02     0.5708E-02     0.5708E-01     0.3674E-01     0.0000E+00     0.1103E+02     0.4129E+01     0.2320E+03     0.1399E+03     0.8503E+01     0.1697E+02     0.3338E+01     0.3021E+01     0.0000E+00     0.0000E+00     0.2089E+07     0.1002E+02     0.1638E+03     0.1947E+02     0.1570E+02     0.1570E+03     0.1011E+03     0.0000E+00     0.1103E+02     0.4130E+01     0.2321E+03     0.1398E+03     0.8502E+01     0.1697E+02     0.3339E+01     0.3021E+01     0.0000E+00     0.0000E+00     0.2089E+07     0.1005E+02     0.1638E+03     0.1947E+02     0.1571E+02     0.1571E+03     0.1011E+03     0.0000E+00     0.1103E+02     0.1099E+02
