date,flo_out
01/01/2001,5.65
02/01/2001,3.95
03/01/2001,6.48
04/01/2001,3.9
05/01/2001,3.38
06/01/2001,3.17
07/01/2001,3.17
08/01/2001,2.84
09/01/2001,2.58
10/01/2001,2.36
11/01/2001,2.17
12/01/2001,1.99
13/01/2001,1.83
14/01/2001,1.69
15/01/2001,1.56
16/01/2001,1.43
17/01/2001,1.33
18/01/2001,1.23
19/01/2001,1.15
20/01/2001,1.13
21/01/2001,1.06
22/01/2001,1.64
23/01/2001,3.57
24/01/2001,2.72
25/01/2001,3.02
26/01/2001,2.27
27/01/2001,2.03
28/01/2001,1.86
29/01/2001,2.4
30/01/2001,2.38
31/01/2001,1.95
01/02/2001,3.02
02/02/2001,4.55
03/02/2001,3.62
04/02/2001,3.68
05/02/2001,4.51
06/02/2001,3.49
07/02/2001,5.08
08/02/2001,3.36
09/02/2001,2.97
10/02/2001,5.67
11/02/2001,8.02
12/02/2001,4.23
13/02/2001,3.56
14/02/2001,3.21
15/02/2001,2.94
16/02/2001,2.68
17/02/2001,2.45
18/02/2001,2.24
19/02/2001,2.12
20/02/2001,1.98
21/02/2001,1.96
22/02/2001,1.88
23/02/2001,1.74
24/02/2001,1.64
25/02/2001,2.23
26/02/2001,2.04
27/02/2001,2.24
28/02/2001,1.83
01/03/2001,1.66
02/03/2001,1.54
03/03/2001,1.44
04/03/2001,1.34
05/03/2001,1.24
06/03/2001,1.84
07/03/2001,1.65
08/03/2001,1.86
09/03/2001,2.81
10/03/2001,1.98
11/03/2001,1.96
12/03/2001,2.26
13/03/2001,1.84
14/03/2001,1.67
15/03/2001,1.59
16/03/2001,1.54
17/03/2001,1.55
18/03/2001,1.42
19/03/2001,1.32
20/03/2001,1.29
21/03/2001,2.92
22/03/2001,1.87
23/03/2001,1.68
24/03/2001,1.53
25/03/2001,1.4
26/03/2001,1.7
27/03/2001,2.16
28/03/2001,1.68
29/03/2001,1.51
30/03/2001,2.37
31/03/2001,2.02
01/04/2001,1.73
02/04/2001,1.61
03/04/2001,3.29
04/04/2001,2.13
05/04/2001,5.71
06/04/2001,5.94
07/04/2001,3.71
