date,   mon,   day,    yr,     unit,   gis_id,   name        ,          area ,        precip ,          evap ,          seep ,         flo_stor,       sed_stor,      orgn_stor,      sedp_stor,       no3_stor,      solp_stor,      chla_stor,       nh3_stor,       no2_stor,      cbod_stor,       dox_stor,       san_stor,       sil_stor,       cla_stor,       sag_stor,       lag_stor,       grv_stor,           null,         flo_in,         sed_in,        orgn_in,        sedp_in,         no3_in,        solp_in,        chla_in,         nh3_in,         no2_in,        cbod_in,         dox_in,         san_in,         sil_in,         cla_in,         sag_in,         lag_in,         grv_in,           null,flo_out,        sed_out,       orgn_out,       sedp_out,        no3_out,       solp_out,       chla_out,        nh3_out,        no2_out,       cbod_out,        dox_out,        san_out,        sil_out,        cla_out,        sag_out,        lag_out,        grv_out,           null,     water_temp
2001-01-01,1,1,2001,1,1,cha001          ,0.235,2.45E-03,4.68E-05,2.35E-04,338,0.301,0.818,5.21E-02,1.11E-02,8.59E-05,1.19E-03,0,0,613,7.71E-03,0.316,5.18E-02,5.09E-02,0.509,0.253,0,11,5.24,404,1.10E+03,70,14.9,0.115,1.6,0,0,8.22E+05,10.3,423,69.5,68.3,683,340,0,11,5.25,406,1.10E+03,70,14.9,0.115,1.6,0,0,8.22E+05,10.4,423,69.5,68.3,683,340,0,11,11
2001-01-02,1,2,2001,1,1,cha001          ,0.235,8.71E-04,4.55E-05,2.35E-04,271,0.161,0.316,2.08E-02,7.24E-03,4.80E-05,8.01E-04,0,0,351,6.31E-04,0.114,1.47E-02,1.31E-02,0.131,7.65E-02,0,10.3,3.81,196,384,25.2,8.79,5.83E-02,0.972,0,0,4.26E+05,0.765,139,17.8,15.9,159,92.8,0,10.3,3.81,196,384,25.2,8.79,5.83E-02,0.973,0,0,4.27E+05,0.772,139,17.8,15.9,159,93,0,10.3,10.3
2001-01-03,1,3,2001,1,1,cha001          ,0.235,4.24E-03,4.29E-05,2.35E-04,380,1.04,0.92,5.95E-02,1.11E-02,4.73E-05,1.16E-03,0,0,605,2.96E-05,0.271,5.13E-02,5.35E-02,0.535,0.245,0,9.12,6.09,1.45E+03,1.28E+03,82.4,15.4,6.55E-02,1.61,0,0,8.38E+05,4.10E-02,375,71.1,74.2,742,340,0,9.12,6.09,1.44E+03,1.27E+03,82.4,15.4,6.55E-02,1.61,0,0,8.38E+05,4.16E-02,375,71,74.1,741,340,0,9.12,9.12
2001-01-04,1,4,2001,1,1,cha001          ,0.235,0,4.47E-05,2.35E-04,287,7.46E-02,0.19,1.25E-02,4.02E-03,2.85E-05,3.05E-04,0,0,161,0.223,4.48E-02,7.66E-03,7.71E-03,7.71E-02,3.73E-02,0,9.67,4.1,92.1,235,15.4,4.96,3.52E-02,0.377,0,0,1.98E+05,276,55.3,9.46,9.52,95.2,46.1,0,9.67,4.1,93,236,15.4,4.97,3.52E-02,0.377,0,0,1.99E+05,275,55.6,9.51,9.56,95.6,46.3,0,9.67,9.67
2001-01-05,1,5,2001,1,1,cha001          ,0.235,2.12E-04,4.02E-05,2.35E-04,258,7.08E-03,4.43E-02,2.88E-03,2.12E-03,1.86E-05,3.74E-05,0,0,19.7,0.304,7.19E-03,1.18E-03,1.12E-03,1.12E-02,5.67E-03,0,7.73,3.53,8.35,52.3,3.39,2.51,2.20E-02,4.41E-02,0,0,2.33E+04,359,8.49,1.39,1.33,13.3,6.69,0,7.73,3.53,8.42,52.4,3.4,2.51,2.20E-02,4.44E-02,0,0,2.34E+04,359,8.53,1.39,1.33,13.3,6.72,0,7.73,7.73
2001-01-06,1,6,2001,1,1,cha001          ,0.235,2.35E-04,4.51E-05,2.35E-04,246,1.97E-02,2.62E-02,1.86E-03,2.43E-03,5.99E-05,6.93E-04,0,0,280,7.04E-02,5.17E-03,2.69E-03,1.07E-03,1.07E-02,4.83E-03,0,9.43,3.29,22.8,30.4,2.15,2.82,6.93E-02,0.803,0,0,3.24E+05,81.5,5.99,3.12,1.24,12.4,5.59,0,9.43,3.29,22.8,30.4,2.15,2.82,6.93E-02,0.802,0,0,3.24E+05,81.7,5.99,3.12,1.24,12.4,5.59,0,9.43,9.43
2001-01-07,1,7,2001,1,1,cha001          ,0.235,7.77E-04,4.51E-05,2.35E-04,245,3.86E-02,4.69E-02,3.22E-03,3.91E-03,3.84E-05,2.05E-03,0,0,617,8.18E-03,1.24E-02,3.54E-03,2.75E-03,2.75E-02,1.21E-02,0,9.24,3.26,44.5,54.1,3.71,4.51,4.43E-02,2.37,0,0,7.12E+05,9.44,14.3,4.08,3.17,31.7,13.9,0,9.24,3.26,44.5,54.1,3.71,4.51,4.43E-02,2.37,0,0,7.12E+05,9.5,14.3,4.08,3.17,31.7,13.9,0,9.24,9.24
2001-01-08,1,8,2001,1,1,cha001          ,0.235,0,4.43E-05,2.35E-04,227,2.42E-03,1.65E-02,1.09E-03,2.01E-03,1.43E-05,5.13E-04,0,0,151,0.254,2.62E-03,7.00E-04,4.78E-04,4.78E-03,2.26E-03,0,8.73,2.92,2.7,18.3,1.21,2.24,1.60E-02,0.571,0,0,1.69E+05,283,2.92,0.779,0.533,5.33,2.52,0,8.73,2.92,2.73,18.4,1.21,2.24,1.60E-02,0.573,0,0,1.69E+05,282,2.93,0.782,0.535,5.35,2.53,0,8.73,8.73
2001-01-09,1,9,2001,1,1,cha001          ,0.235,0,3.96E-05,2.35E-04,212,3.77E-04,7.66E-03,4.88E-04,1.31E-03,7.92E-06,6.26E-05,0,0,18.3,0.34,6.58E-04,1.79E-04,1.04E-04,1.04E-03,5.22E-04,0,6.76,2.65,0.407,8.28,0.527,1.42,8.56E-03,6.77E-02,0,0,1.98E+04,368,0.712,0.194,0.113,1.12,0.564,0,6.76,2.65,0.409,8.29,0.528,1.42,8.56E-03,6.81E-02,0,0,1.99E+04,368,0.714,0.194,0.113,1.13,0.566,0,6.76,6.76
2001-01-10,1,10,2001,1,1,cha001          ,0.236,0,4.07E-05,2.36E-04,198,1.34E-04,4.82E-03,3.01E-04,9.72E-04,5.47E-06,4.89E-06,0,0,1.42,0.361,2.69E-04,8.05E-05,4.37E-05,4.34E-04,2.16E-04,0,7,2.41,0.141,5.06,0.315,1.02,5.73E-03,5.12E-03,0,0,1.49E+03,378,0.282,8.43E-02,4.58E-02,0.455,0.226,0,7,2.41,0.141,5.06,0.315,1.02,5.73E-03,5.18E-03,0,0,1.51E+03,378,0.283,8.44E-02,4.58E-02,0.455,0.227,0,7,7
